KOD_SUKL;LEKAR;LEKARNIK;PACIENT;TYP;PLATNOST_OD;PLATNOST_DO;PRIORITA
0246018;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0246026;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0246104;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0265629;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0265629;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0265633;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0265634;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0249997;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0250007;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0250018;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0250233;0;0;1;EM;16.10.2025;01.01.2050;Stredni
0254644;0;0;1;EM;25.02.2019;25.02.2029;Stredni
0254646;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0254648;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0254649;0;0;1;EM;25.02.2019;25.02.2029;Stredni
0254829;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0254830;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0257935;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0258052;1;1;1;DI;26.05.2025;26.05.2027;Stredni
0258820;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0258826;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0258827;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0258830;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258835;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258836;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0265650;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0265656;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0265656;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0250261;1;1;0;EM;22.05.2025;22.05.2035;Stredni
0250264;0;0;1;EM;22.05.2025;22.05.2035;Stredni
0250274;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0254846;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0254851;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0255063;0;0;1;EM;23.09.2021;23.09.2031;Stredni
0258845;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258847;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258854;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258858;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258861;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0265663;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0265667;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0265765;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0250281;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0250289;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0255176;1;1;0;EM;27.04.2023;27.04.2033;Stredni
0255176;0;0;1;EM;27.04.2023;27.04.2033;Stredni
0255195;0;0;1;EM;31.03.2023;31.03.2033;Stredni
0255234;1;1;1;DI;31.07.2025;31.07.2027;Stredni
0255234;1;1;0;DHPC;20.02.2026;20.08.2026;Vysoka
0255246;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0258937;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258942;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0258950;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0259227;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0259228;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0259443;1;1;1;DI;14.07.2025;14.07.2027;Stredni
0265775;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0250354;1;1;0;EM;02.04.2024;02.04.2034;Stredni
0250527;1;1;0;EM;05.11.2025;01.01.2050;Stredni
0250606;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0250613;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0255334;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0255351;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0260159;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0265787;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0265878;1;1;0;EM;04.06.2025;04.06.2035;Stredni
0265881;0;0;1;EM;04.06.2025;04.06.2035;Stredni
0250866;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0250876;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0255367;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0255377;0;0;1;EM;04.06.2024;04.06.2034;Stredni
0255382;0;0;1;EM;04.06.2024;04.06.2034;Stredni
0255385;1;1;0;EM;04.06.2024;04.06.2034;Stredni
0255386;0;0;1;EM;04.06.2024;04.06.2034;Stredni
0260171;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0260176;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0260180;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0250890;1;1;0;EM;25.06.2021;25.06.2031;Stredni
0250894;0;0;1;EM;25.06.2021;25.06.2031;Stredni
0255589;1;1;0;EM;17.06.2022;17.06.2032;Stredni
0255663;0;0;1;EM;12.02.2025;12.02.2035;Stredni
0256439;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0256443;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0260499;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0260588;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0265778;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0265780;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0265785;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0251411;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0251412;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0251414;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0251415;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0251427;1;1;0;EM;02.12.2019;02.12.2029;Stredni
0242346;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0242350;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0242431;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0242661;0;0;1;EM;01.07.2025;01.01.2050;Stredni
0242721;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0260784;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0260906;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0260907;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0260987;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0246108;1;1;0;EM;18.02.2021;18.02.2031;Stredni
0246108;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0246806;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0252186;0;0;1;EM;29.03.2021;29.03.2031;Stredni
0252188;1;1;0;EM;29.03.2021;29.03.2031;Stredni
0252188;0;0;1;EM;29.03.2021;29.03.2031;Stredni
0252190;0;0;1;EM;29.03.2021;29.03.2031;Stredni
0252191;1;1;0;EM;29.03.2021;29.03.2031;Stredni
0252192;1;1;0;EM;29.03.2021;29.03.2031;Stredni
0252682;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0242724;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0242729;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0261085;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0261089;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0261097;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0262453;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0247522;0;0;1;EM;13.05.2019;13.05.2029;Stredni
0248220;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0253074;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0242833;1;1;0;EM;20.08.2024;20.08.2034;Stredni
0243036;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0243042;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0243191;1;1;0;EM;06.06.2024;06.06.2034;Stredni
0243191;0;0;1;EM;06.06.2024;06.06.2034;Stredni
0262587;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0262588;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0262629;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0253079;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0253080;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0253082;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0253083;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0253084;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0253097;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0243382;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0243476;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0243477;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0262631;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0262670;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0262829;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0262831;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0263120;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0263121;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0263381;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0263383;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0248375;0;0;1;EM;08.09.2022;08.09.2032;Stredni
0248434;1;1;0;DI;10.09.2024;10.09.2026;Stredni
0248435;1;1;0;DI;10.09.2024;10.09.2026;Stredni
0248438;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0253109;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253233;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0253236;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0253345;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0253361;1;1;0;EM;01.07.2023;01.07.2033;Stredni
0243934;1;1;0;EM;25.02.2019;25.02.2029;Stredni
0243934;0;0;1;EM;25.02.2019;25.02.2029;Stredni
0244317;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0263444;1;1;1;DI;17.03.2025;17.03.2027;Stredni
0263612;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0249412;0;0;1;EM;13.05.2019;13.05.2029;Stredni
0249415;0;0;1;EM;13.05.2019;13.05.2029;Stredni
0253559;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253570;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253573;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253585;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253590;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0253599;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0244322;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0245146;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0245148;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0263868;1;1;0;EM;15.02.2024;01.01.2050;Stredni
0264599;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0264711;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0264712;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0249494;1;1;0;EM;22.05.2024;22.05.2034;Stredni
0254049;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0254050;0;0;1;EM;20.11.2020;20.11.2030;Stredni
0254067;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0254075;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0254171;1;1;0;DI;02.02.2026;02.02.2028;Stredni
0245415;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0245424;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0245427;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0264719;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0264727;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0264787;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0264788;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0264802;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0249513;1;1;0;DHPC;20.02.2026;20.08.2026;Vysoka
0249515;1;1;1;DI;31.07.2025;31.07.2027;Stredni
0249516;1;1;1;DI;31.07.2025;31.07.2027;Stredni
0249550;0;0;1;EM;31.10.2025;01.01.2050;Stredni
0249552;0;0;1;EM;23.04.2025;23.04.2035;Stredni
0249570;1;1;0;EM;29.04.2025;29.04.2035;Stredni
0254245;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0245427;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0245429;0;0;1;EM;22.01.2024;22.01.2034;Stredni
0245566;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0265273;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0265278;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0265279;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0265282;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0265288;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0265291;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0265294;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0249760;0;0;1;EM;26.09.2025;01.01.2050;Stredni
0249763;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0249785;1;1;0;EM;03.10.2024;01.01.2050;Stredni
0249791;1;1;0;EM;03.10.2024;01.01.2050;Stredni
0268309;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268316;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268318;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268322;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0274691;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0274698;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0274700;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0274703;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274716;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274719;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274722;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274723;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0269574;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0269577;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0269588;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0268351;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268376;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268378;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0268468;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0268473;0;0;1;EM;08.12.2022;08.12.2032;Stredni
0268474;0;0;1;EM;08.12.2022;08.12.2032;Stredni
0271850;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0274742;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274744;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274745;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274751;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274766;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0270014;1;1;0;EM;20.09.2024;20.09.2034;Stredni
0270172;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0270176;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0270182;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0270194;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0271875;1;1;0;EM;27.03.2025;27.03.2035;Stredni
0271900;1;1;0;EM;29.02.2024;28.02.2034;Stredni
0271947;1;1;0;EM;03.07.2024;03.07.2034;Stredni
0274877;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0274880;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0275287;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0275295;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0275298;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0275307;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0270196;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0270202;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0270284;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270292;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270294;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270296;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270609;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270610;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0270613;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0271955;1;1;0;EM;03.07.2024;03.07.2034;Stredni
0275335;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0275467;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0275472;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0275885;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0276129;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0276130;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0271461;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0271499;1;1;0;EM;18.09.2025;01.01.2050;Stredni
0271502;0;0;1;EM;01.01.2025;01.01.2035;Stredni
0272087;0;0;1;EM;21.12.2023;01.01.2050;Stredni
0272089;0;0;1;EM;10.09.2025;01.01.2050;Stredni
0272090;1;1;0;EM;10.09.2025;01.01.2050;Stredni
0272090;0;0;1;EM;10.09.2025;01.01.2050;Stredni
0272092;0;0;1;EM;21.12.2023;01.01.2050;Stredni
0272152;0;0;1;EM;24.04.2025;24.04.2035;Stredni
0272196;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0276136;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0276140;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0276436;1;1;0;DHPC;12.09.2025;12.03.2026;Vysoka
0276920;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0276925;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0276926;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0271679;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0271679;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0271703;0;0;1;EM;01.09.2025;01.01.2050;Stredni
0271706;0;0;1;EM;30.04.2024;30.04.2034;Stredni
0271708;1;1;0;EM;30.04.2024;30.04.2034;Stredni
0271728;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0272200;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272202;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0272203;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0272203;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272207;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0272207;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272209;0;0;1;EM;31.01.2025;31.01.2035;Stredni
0276943;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0276949;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0271736;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0271746;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0271747;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0271750;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0271796;0;0;1;EM;05.02.2025;05.02.2035;Stredni
0271797;1;1;0;EM;05.02.2025;05.02.2035;Stredni
0272314;1;1;0;EM;21.01.2026;01.01.2050;Stredni
0272314;0;0;1;EM;21.01.2026;01.01.2050;Stredni
0272328;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0272329;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0272330;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0272333;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0277114;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0277116;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0277121;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0277128;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0277372;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0277373;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0271813;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0271815;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0276932;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0276932;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272570;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268547;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0268592;0;0;1;EM;05.02.2025;05.02.2035;Stredni
0272580;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0272582;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268693;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268694;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268695;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268695;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268697;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272602;1;1;0;DHPC;20.02.2026;20.08.2026;Vysoka
0272606;1;1;1;DI;31.07.2025;31.07.2027;Stredni
0272610;1;1;1;DI;31.07.2025;31.07.2027;Stredni
0268701;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268702;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268709;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268710;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268711;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0272757;1;1;0;EM;06.01.2025;06.01.2035;Stredni
0272761;0;0;1;EM;06.01.2025;06.01.2035;Stredni
0272762;1;1;0;EM;06.01.2025;06.01.2035;Stredni
0268714;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268715;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268717;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268720;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268724;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0267156;1;1;0;EM;08.12.2022;08.12.2032;Stredni
0267161;1;1;0;EM;08.12.2022;08.12.2032;Stredni
0267167;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0267168;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0268727;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268727;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268730;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268730;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0268731;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0268732;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0267190;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0267191;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0267291;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0267294;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0267294;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0267298;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0267300;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0267302;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0267303;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0267305;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0272944;0;0;1;EM;31.05.2017;31.05.2027;Stredni
0272945;1;1;0;EM;31.05.2017;31.05.2027;Stredni
0272949;1;1;0;EM;13.05.2019;13.05.2029;Stredni
0273011;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0273017;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0273018;1;1;0;EM;05.10.2023;05.10.2033;Stredni
0268894;0;0;1;EM;31.10.2025;01.01.2050;Stredni
0268895;1;1;0;EM;31.10.2025;01.01.2050;Stredni
0268897;0;0;1;EM;31.10.2025;01.01.2050;Stredni
0268899;1;1;0;EM;31.10.2025;01.01.2050;Stredni
0269115;1;1;0;DI;27.05.2024;27.05.2026;Stredni
0267632;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0267634;1;1;1;DI;18.03.2024;18.03.2026;Stredni
0267692;1;1;0;EM;15.01.2024;15.01.2034;Stredni
0267694;1;1;0;EM;15.01.2024;15.01.2034;Stredni
0273426;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0273427;1;1;0;EM;27.10.2025;01.01.2050;Stredni
0273533;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0269213;0;0;1;EM;07.12.2023;07.12.2033;Stredni
0269229;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0268075;1;1;0;EM;30.04.2023;30.04.2033;Stredni
0268079;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0268080;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0268084;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0268214;1;1;0;EM;31.10.2022;31.10.2032;Stredni
0268236;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0268237;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0268238;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0268239;1;1;0;EM;10.07.2024;10.07.2034;Stredni
0268303;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0273543;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0273544;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0273550;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0273553;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0274678;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0269262;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0269306;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0269318;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0269560;1;1;0;EM;20.12.2023;20.12.2033;Stredni
0269563;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0269572;0;0;1;EM;20.12.2023;20.12.2033;Stredni
0277378;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0277382;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0277418;1;1;0;EM;12.06.2025;01.01.2050;Stredni
0277844;1;1;1;DI;02.07.2024;02.06.2026;Stredni
0285328;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285333;0;0;1;EM;28.11.2025;01.01.2050;Stredni
0285334;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285335;1;1;0;EM;28.11.2025;01.01.2050;Stredni
0285385;1;1;0;EM;28.03.2024;28.03.2034;Stredni
0285410;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0285417;1;1;0;EM;19.01.2026;01.01.2050;Stredni
0285861;1;1;1;DI;29.09.2025;29.09.2027;Stredni
0285862;1;1;1;DI;29.09.2025;29.09.2027;Stredni
0277926;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0277928;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0278199;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0278200;1;1;0;EM;02.12.2019;02.12.2029;Stredni
0278200;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0278201;0;0;1;EM;02.12.2019;02.12.2029;Stredni
0278330;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0278567;0;0;1;EM;10.07.2024;10.07.2034;Stredni
0278705;1;0;0;OP;01.07.2024;31.12.2050;Stredni
0278748;1;1;0;EM;26.09.2025;01.01.2050;Stredni
0278802;1;1;0;EM;16.02.2024;16.02.2034;Stredni
0279179;0;0;1;EM;26.10.2025;01.01.2050;Stredni
0279181;0;0;1;EM;26.10.2025;01.01.2050;Stredni
0279597;1;1;0;EM;25.02.2019;25.02.2029;Stredni
